a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,niveau_hierarchique_poste,heure_supplementaires,augmentation_salaire_precedente,satisfaction_globale,note_evaluation
1,0,0,1,2,Infra & Cloud,Occasionnel,0,41,1,5993,Célibataire,Commercial,Cadre Commercial,8,6,2,1,11,2.0,3.0
0,1,3,8,1,Infra & Cloud,Frequent,1,49,0,5130,Marié(e),Consulting,Assistant de Direction,1,10,2,0,23,3.0,3.0
1,0,3,2,2,Autre,Occasionnel,0,37,0,2090,Célibataire,Consulting,Consultant,6,0,1,1,15,3.0,2.5
0,0,3,3,4,Infra & Cloud,Frequent,3,33,1,2909,Marié(e),Consulting,Assistant de Direction,1,8,1,1,11,3.25,3.0
0,1,3,2,1,Transformation Digitale,Occasionnel,2,27,0,3468,Marié(e),Consulting,Consultant,9,2,1,0,12,2.5,3.0
0,0,2,2,2,Infra & Cloud,Frequent,3,32,0,3068,Célibataire,Consulting,Consultant,0,7,1,0,13,3.25,3.0
0,3,3,3,3,Transformation Digitale,Occasionnel,0,59,1,2670,Marié(e),Consulting,Consultant,4,1,1,1,20,1.75,4.0
0,1,2,24,1,Infra & Cloud,Occasionnel,0,30,0,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,22,3.0,3.5
0,0,2,23,3,Infra & Cloud,Frequent,1,38,0,9526,Célibataire,Consulting,Tech Lead,0,9,3,0,21,3.0,3.0
0,2,3,27,3,Transformation Digitale,Occasionnel,7,36,0,5237,Marié(e),Consulting,Manager,6,7,2,0,13,2.5,3.0
0,1,5,16,3,Transformation Digitale,Occasionnel,0,35,0,2426,Marié(e),Consulting,Consultant,0,5,1,0,13,2.25,3.5
0,0,3,15,2,Infra & Cloud,Occasionnel,0,29,1,4193,Célibataire,Consulting,Consultant,0,9,2,1,12,3.5,2.5
0,1,1,26,1,Infra & Cloud,Occasionnel,4,31,0,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,1,0,17,2.5,3.0
0,1,2,19,2,Transformation Digitale,Occasionnel,1,34,0,2661,Divorcé(e),Consulting,Consultant,0,2,1,0,11,3.0,3.0
1,0,4,24,3,Infra & Cloud,Occasionnel,0,28,0,2028,Célibataire,Consulting,Consultant,5,4,1,1,14,2.75,2.5
0,1,1,21,4,Infra & Cloud,Occasionnel,8,29,1,9980,Divorcé(e),Consulting,Tech Lead,1,10,3,0,11,2.25,3.5
0,2,5,5,2,Infra & Cloud,Occasionnel,0,32,0,3298,Divorcé(e),Consulting,Assistant de Direction,0,6,1,1,12,2.25,3.5
0,2,2,16,2,Transformation Digitale,Aucun,0,22,0,2935,Divorcé(e),Consulting,Consultant,1,1,1,1,13,3.0,3.5
0,0,3,2,4,Infra & Cloud,Occasionnel,3,53,1,15427,Marié(e),Commercial,Senior Manager,2,25,4,0,16,2.75,2.5
0,0,3,2,3,Infra & Cloud,Occasionnel,1,38,0,3944,Célibataire,Consulting,Assistant de Direction,5,3,1,1,11,3.5,3.0
0,1,5,11,2,Autre,Aucun,1,24,1,4011,Divorcé(e),Consulting,Tech Lead,0,4,2,0,18,2.5,3.5
1,0,4,9,4,Infra & Cloud,Occasionnel,0,36,0,3407,Célibataire,Commercial,Représentant Commercial,7,5,1,0,23,2.25,3.0
0,0,4,7,4,Infra & Cloud,Occasionnel,2,34,1,11994,Célibataire,Consulting,Directeur Technique,0,12,3,0,11,2.25,3.0
0,0,6,15,2,Infra & Cloud,Occasionnel,0,21,0,1232,Célibataire,Consulting,Assistant de Direction,1,0,1,0,14,3.5,3.0
1,0,2,6,1,Transformation Digitale,Occasionnel,1,34,0,2960,Célibataire,Consulting,Assistant de Direction,2,4,1,0,11,2.25,3.0
0,1,3,5,3,Autre,Occasionnel,4,53,1,19094,Divorcé(e),Consulting,Senior Manager,4,14,5,0,11,3.0,3.0
1,0,5,16,1,Infra & Cloud,Frequent,6,32,1,3919,Célibataire,Consulting,Assistant de Direction,1,10,1,1,22,2.0,2.5
0,1,2,8,4,Marketing,Occasionnel,4,42,0,6825,Marié(e),Commercial,Cadre Commercial,0,9,2,0,11,3.0,3.0
0,1,4,7,4,Transformation Digitale,Occasionnel,5,44,1,10248,Marié(e),Consulting,Manager,3,22,3,0,14,3.0,2.5
0,0,2,2,4,Marketing,Occasionnel,2,46,1,18947,Célibataire,Commercial,Senior Manager,3,2,5,0,12,2.25,3.0
0,0,3,2,3,Transformation Digitale,Occasionnel,0,33,0,2496,Célibataire,Consulting,Consultant,4,1,1,0,11,3.5,3.0
0,0,5,10,4,Autre,Occasionnel,1,44,0,6465,Marié(e),Consulting,Manager,2,4,2,1,13,4.0,3.0
0,0,5,9,2,Transformation Digitale,Occasionnel,1,30,0,2206,Célibataire,Consulting,Consultant,1,10,1,0,13,2.75,2.5
1,1,6,5,3,Entrepreunariat,Occasionnel,0,39,0,2086,Marié(e),Commercial,Représentant Commercial,3,1,2,0,14,3.75,3.0
1,1,2,1,3,Transformation Digitale,Occasionnel,2,24,0,2293,Marié(e),Consulting,Assistant de Direction,2,2,1,1,16,2.25,3.0
0,2,3,2,2,Transformation Digitale,Occasionnel,1,43,1,2645,Divorcé(e),Consulting,Assistant de Direction,1,5,1,0,12,3.25,3.5
1,0,2,3,2,Marketing,Occasionnel,0,50,0,2683,Marié(e),Commercial,Représentant Commercial,1,3,1,1,14,2.5,2.5
0,0,3,2,3,Marketing,Occasionnel,2,35,1,2014,Marié(e),Commercial,Représentant Commercial,1,2,1,0,13,3.0,3.0
0,1,3,5,4,Infra & Cloud,Occasionnel,0,36,1,3419,Marié(e),Consulting,Assistant de Direction,9,1,1,1,14,2.75,2.5
0,2,3,1,3,Infra & Cloud,Frequent,1,33,1,5376,Marié(e),Commercial,Cadre Commercial,2,5,2,0,19,2.0,3.5
0,1,3,4,2,Autre,Occasionnel,0,35,0,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,12,3.25,3.0
0,1,6,2,4,Infra & Cloud,Occasionnel,0,27,1,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,13,3.0,3.0
1,0,2,25,3,Infra & Cloud,Occasionnel,0,26,0,2293,Célibataire,Consulting,Consultant,1,1,1,0,12,2.25,2.0
0,0,0,8,3,Infra & Cloud,Frequent,1,27,0,8726,Célibataire,Commercial,Cadre Commercial,1,9,3,0,15,3.5,3.0
0,0,2,1,2,Transformation Digitale,Frequent,3,30,1,4011,Célibataire,Consulting,Consultant,1,12,2,0,23,3.5,3.5
1,0,0,12,3,Entrepreunariat,Occasionnel,15,41,1,19545,Marié(e),Consulting,Directeur Technique,1,22,5,0,12,3.0,3.0
0,0,2,23,4,Marketing,Aucun,8,34,0,4568,Célibataire,Commercial,Cadre Commercial,0,9,2,0,20,2.75,3.5
0,0,1,19,2,Infra & Cloud,Occasionnel,0,37,0,3022,Marié(e),Consulting,Assistant de Direction,4,1,1,0,21,2.0,3.5
0,0,4,5,4,Marketing,Frequent,0,46,0,5772,Célibataire,Commercial,Cadre Commercial,4,9,2,1,21,2.75,3.5
0,0,2,8,1,Infra & Cloud,Occasionnel,0,35,0,2269,Marié(e),Consulting,Consultant,1,1,1,0,19,3.75,3.5
1,0,2,1,2,Infra & Cloud,Occasionnel,0,48,0,5381,Célibataire,Consulting,Consultant,9,1,3,1,13,2.75,2.5
1,0,3,5,4,Entrepreunariat,Occasionnel,2,28,0,3441,Célibataire,Consulting,Consultant,1,2,1,1,13,2.75,3.0
0,1,2,1,5,Marketing,Occasionnel,1,44,1,5454,Divorcé(e),Commercial,Cadre Commercial,5,4,2,1,21,2.0,3.5
0,1,3,11,2,Transformation Digitale,Aucun,2,35,0,9884,Marié(e),Consulting,Manager,2,4,3,1,13,2.5,2.5
